PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,UNIT_PRICE,STATUS,CREATED_DATE
1,PRODUCT_1,2,427.15,ACTIVE,2025-09-20 20:42:31
2,PRODUCT_2,3,101.11,ACTIVE,2025-06-24 04:35:49
3,PRODUCT_3,4,95.39,ACTIVE,2026-01-07 15:27:02
4,PRODUCT_4,5,428.58,ACTIVE,2025-02-27 04:15:12
5,PRODUCT_5,6,218.97,ACTIVE,2025-08-18 17:26:06
6,PRODUCT_6,7,196.69,ACTIVE,2026-01-01 14:00:56
7,PRODUCT_7,8,367.73,ACTIVE,2025-02-17 04:44:08
8,PRODUCT_8,9,364.15,ACTIVE,2025-07-01 08:40:14
9,PRODUCT_9,10,208.8,ACTIVE,2025-12-04 05:22:53
10,PRODUCT_10,11,230.33,INACTIVE,2026-01-01 11:34:49
11,PRODUCT_11,12,393.5,ACTIVE,2025-09-09 05:35:43
12,PRODUCT_12,13,163.95,ACTIVE,2025-11-21 11:45:04
13,PRODUCT_13,14,75.72,ACTIVE,2025-01-24 18:20:44
14,PRODUCT_14,15,499.66,ACTIVE,2025-09-17 10:05:02
15,PRODUCT_15,16,241.6,ACTIVE,2025-07-14 01:01:33
16,PRODUCT_16,17,161.36,ACTIVE,2025-05-15 22:37:39
17,PRODUCT_17,18,262.89,ACTIVE,2025-11-14 03:35:51
18,PRODUCT_18,19,218.8,ACTIVE,2025-02-28 14:44:50
19,PRODUCT_19,20,235.33,ACTIVE,2025-12-06 09:36:38
20,PRODUCT_20,1,273.3,INACTIVE,2025-02-23 00:22:17
21,PRODUCT_21,2,217.94,ACTIVE,2025-08-23 17:23:05
22,PRODUCT_22,3,223.13,ACTIVE,2025-11-14 06:00:35
23,PRODUCT_23,4,142.96,ACTIVE,2025-10-20 17:33:10
24,PRODUCT_24,5,122.64,ACTIVE,2025-01-18 23:57:41
25,PRODUCT_25,6,336.88,ACTIVE,2025-06-25 08:02:03
26,PRODUCT_26,7,245.47,ACTIVE,2025-02-13 16:43:08
27,PRODUCT_27,8,346.35,ACTIVE,2025-11-16 19:27:18
28,PRODUCT_28,9,199.01,ACTIVE,2025-01-18 18:55:36
29,PRODUCT_29,10,147.8,ACTIVE,2025-11-06 01:46:28
30,PRODUCT_30,11,439.94,INACTIVE,2025-05-22 00:31:45
31,PRODUCT_31,12,262.14,ACTIVE,2025-11-14 02:45:24
32,PRODUCT_32,13,275.02,ACTIVE,2025-02-03 09:44:36
33,PRODUCT_33,14,287.47,ACTIVE,2025-03-24 16:50:29
34,PRODUCT_34,15,452.61,ACTIVE,2025-11-04 08:47:26
35,PRODUCT_35,16,13.23,ACTIVE,2025-10-09 19:45:40
36,PRODUCT_36,17,218.14,ACTIVE,2025-03-16 08:29:09
37,PRODUCT_37,18,253.72,ACTIVE,2025-02-24 11:59:17
38,PRODUCT_38,19,104.58,ACTIVE,2025-12-23 20:03:24
39,PRODUCT_39,20,291.39,ACTIVE,2025-06-28 11:07:40
40,PRODUCT_40,1,72.6,INACTIVE,2025-03-26 20:18:54
41,PRODUCT_41,2,265.63,ACTIVE,2025-07-21 19:57:45
42,PRODUCT_42,3,125.6,ACTIVE,2025-11-15 14:08:12
43,PRODUCT_43,4,331.92,ACTIVE,2025-05-04 15:36:24
44,PRODUCT_44,5,328.05,ACTIVE,2025-03-28 06:30:36
45,PRODUCT_45,6,180.65,ACTIVE,2025-09-24 00:08:01
46,PRODUCT_46,7,264.9,ACTIVE,2025-01-22 19:09:22
47,PRODUCT_47,8,139.88,ACTIVE,2025-12-15 00:43:40
48,PRODUCT_48,9,417.31,ACTIVE,2025-01-16 21:54:45
49,PRODUCT_49,10,106.34,ACTIVE,2025-09-11 09:00:11
50,PRODUCT_50,11,182.82,INACTIVE,2025-10-03 07:50:36
51,PRODUCT_51,12,250.21,ACTIVE,2025-05-19 04:59:11
52,PRODUCT_52,13,409.33,ACTIVE,2025-11-13 15:00:12
53,PRODUCT_53,14,224.25,ACTIVE,2025-05-12 07:33:14
54,PRODUCT_54,15,484.47,ACTIVE,2025-10-09 14:31:29
55,PRODUCT_55,16,352.89,ACTIVE,2025-07-09 13:56:07
56,PRODUCT_56,17,395.48,ACTIVE,2025-03-26 05:38:38
57,PRODUCT_57,18,335.89,ACTIVE,2025-12-02 05:41:37
58,PRODUCT_58,19,404.94,ACTIVE,2025-11-11 01:10:03
59,PRODUCT_59,20,430.31,ACTIVE,2025-11-04 08:38:43
60,PRODUCT_60,1,372.54,INACTIVE,2025-02-13 14:36:52
61,PRODUCT_61,2,64.23,ACTIVE,2025-08-11 08:14:56
62,PRODUCT_62,3,90.54,ACTIVE,2025-10-05 14:55:23
63,PRODUCT_63,4,175.77,ACTIVE,2025-10-11 07:22:00
64,PRODUCT_64,5,412.13,ACTIVE,2025-05-04 21:12:08
65,PRODUCT_65,6,119.2,ACTIVE,2025-06-27 20:36:02
66,PRODUCT_66,7,172.66,ACTIVE,2025-12-20 00:40:19
67,PRODUCT_67,8,107.36,ACTIVE,2025-02-03 08:22:12
68,PRODUCT_68,9,483.2,ACTIVE,2025-01-28 10:36:42
69,PRODUCT_69,10,85.18,ACTIVE,2025-10-30 03:47:18
70,PRODUCT_70,11,215.69,INACTIVE,2025-09-04 15:16:26
71,PRODUCT_71,12,111.99,ACTIVE,2025-08-06 21:00:22
72,PRODUCT_72,13,304.12,ACTIVE,2026-01-07 15:19:08
73,PRODUCT_73,14,214.28,ACTIVE,2025-09-15 18:09:07
74,PRODUCT_74,15,81.54,ACTIVE,2025-11-28 18:56:25
75,PRODUCT_75,16,141.39,ACTIVE,2025-06-18 14:34:40
76,PRODUCT_76,17,453.52,ACTIVE,2025-09-22 15:24:40
77,PRODUCT_77,18,383.26,ACTIVE,2025-07-08 06:57:25
78,PRODUCT_78,19,279.29,ACTIVE,2025-03-16 22:00:45
79,PRODUCT_79,20,456.22,ACTIVE,2025-05-26 03:03:21
80,PRODUCT_80,1,430.65,INACTIVE,2025-05-17 05:13:24
81,PRODUCT_81,2,117.45,ACTIVE,2025-09-25 04:53:08
82,PRODUCT_82,3,169.33,ACTIVE,2025-02-19 10:54:25
83,PRODUCT_83,4,233.55,ACTIVE,2025-04-13 14:46:12
84,PRODUCT_84,5,383.31,ACTIVE,2025-03-20 13:27:48
85,PRODUCT_85,6,165.61,ACTIVE,2025-10-22 07:32:13
86,PRODUCT_86,7,268.88,ACTIVE,2025-12-19 12:06:54
87,PRODUCT_87,8,316.6,ACTIVE,2025-09-10 16:37:01
88,PRODUCT_88,9,464.66,ACTIVE,2025-07-04 11:00:45
89,PRODUCT_89,10,377.36,ACTIVE,2025-09-21 12:28:49
90,PRODUCT_90,11,203.29,INACTIVE,2025-06-05 18:04:17
91,PRODUCT_91,12,415.3,ACTIVE,2025-04-23 07:08:07
92,PRODUCT_92,13,10.63,ACTIVE,2025-01-19 02:27:12
93,PRODUCT_93,14,40.75,ACTIVE,2025-02-25 14:52:36
94,PRODUCT_94,15,447.57,ACTIVE,2025-12-03 16:40:38
95,PRODUCT_95,16,293.39,ACTIVE,2025-03-18 11:44:01
96,PRODUCT_96,17,313.33,ACTIVE,2025-08-29 19:52:51
97,PRODUCT_97,18,257.2,ACTIVE,2025-04-16 08:04:04
98,PRODUCT_98,19,135.06,ACTIVE,2025-05-15 16:03:25
99,PRODUCT_99,20,102.22,ACTIVE,2025-09-02 16:37:09
100,PRODUCT_100,1,417.61,INACTIVE,2025-04-20 03:31:10
101,PRODUCT_101,2,280.47,ACTIVE,2025-05-12 00:58:30
102,PRODUCT_102,3,102.48,ACTIVE,2025-02-21 03:14:03
103,PRODUCT_103,4,456.51,ACTIVE,2025-03-15 06:40:14
104,PRODUCT_104,5,419.09,ACTIVE,2025-07-10 07:51:47
