PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,UNIT_PRICE,STATUS,CREATED_DATE
1,PRODUCT_1,2,427.15,ACTIVE,2025-09-21 05:42:31.0
200,PRODUCT_200,1,157.57,INACTIVE,2025-08-25 16:19:13.0
199,PRODUCT_199,20,98.47,ACTIVE,2025-06-02 14:18:01.0
198,PRODUCT_198,19,105.03,ACTIVE,2025-11-19 03:36:41.0
197,PRODUCT_197,18,142.30,ACTIVE,2025-10-06 16:02:01.0
196,PRODUCT_196,17,235.85,ACTIVE,2025-06-04 17:33:09.0
195,PRODUCT_195,16,135.31,ACTIVE,2025-04-10 15:54:54.0
194,PRODUCT_194,15,452.81,ACTIVE,2025-08-29 12:29:17.0
193,PRODUCT_193,14,385.56,ACTIVE,2025-05-21 12:04:49.0
192,PRODUCT_192,13,115.74,ACTIVE,2025-09-14 20:44:54.0
191,PRODUCT_191,12,417.50,ACTIVE,2025-04-17 15:25:58.0
190,PRODUCT_190,11,244.04,INACTIVE,2025-08-21 10:58:03.0
189,PRODUCT_189,10,126.92,ACTIVE,2025-06-08 19:42:33.0
188,PRODUCT_188,9,441.14,ACTIVE,2025-05-25 16:47:40.0
187,PRODUCT_187,8,460.07,ACTIVE,2025-10-31 10:04:52.0
186,PRODUCT_186,7,23.44,ACTIVE,2025-03-28 00:44:19.0
185,PRODUCT_185,6,446.40,ACTIVE,2025-02-22 07:43:59.0
184,PRODUCT_184,5,337.85,ACTIVE,2025-08-01 19:22:54.0
183,PRODUCT_183,4,140.76,ACTIVE,2025-02-19 10:05:50.0
182,PRODUCT_182,3,224.07,ACTIVE,2025-06-29 13:23:54.0
181,PRODUCT_181,2,258.81,ACTIVE,2025-05-15 11:54:01.0
180,PRODUCT_180,1,166.07,INACTIVE,2025-09-27 00:23:36.0
179,PRODUCT_179,20,353.78,ACTIVE,2025-12-24 07:07:44.0
178,PRODUCT_178,19,14.36,ACTIVE,2025-03-07 20:01:34.0
177,PRODUCT_177,18,84.18,ACTIVE,2025-02-07 15:03:47.0
176,PRODUCT_176,17,197.30,ACTIVE,2025-08-17 21:46:31.0
175,PRODUCT_175,16,473.92,ACTIVE,2025-01-29 12:05:31.0
174,PRODUCT_174,15,268.30,ACTIVE,2025-03-09 23:24:55.0
173,PRODUCT_173,14,252.32,ACTIVE,2025-08-16 10:12:24.0
172,PRODUCT_172,13,474.06,ACTIVE,2025-03-09 07:35:31.0
171,PRODUCT_171,12,442.91,ACTIVE,2025-10-02 14:29:25.0
170,PRODUCT_170,11,418.13,INACTIVE,2025-05-20 14:09:53.0
169,PRODUCT_169,10,60.23,ACTIVE,2025-06-06 23:18:14.0
168,PRODUCT_168,9,227.09,ACTIVE,2025-11-13 22:58:13.0
167,PRODUCT_167,8,339.77,ACTIVE,2025-10-31 08:33:27.0
166,PRODUCT_166,7,323.83,ACTIVE,2025-12-25 23:09:21.0
165,PRODUCT_165,6,97.37,ACTIVE,2025-03-15 03:00:42.0
164,PRODUCT_164,5,186.47,ACTIVE,2025-03-24 06:51:25.0
163,PRODUCT_163,4,230.49,ACTIVE,2025-02-28 12:38:37.0
162,PRODUCT_162,3,45.23,ACTIVE,2025-05-28 21:53:53.0
161,PRODUCT_161,2,80.22,ACTIVE,2025-03-17 11:03:25.0
160,PRODUCT_160,1,134.82,INACTIVE,2026-01-02 03:44:39.0
159,PRODUCT_159,20,458.61,ACTIVE,2025-05-25 19:10:35.0
158,PRODUCT_158,19,38.77,ACTIVE,2025-08-29 04:04:05.0
157,PRODUCT_157,18,180.63,ACTIVE,2025-09-30 14:12:34.0
156,PRODUCT_156,17,233.71,ACTIVE,2025-07-13 05:49:26.0
155,PRODUCT_155,16,435.84,ACTIVE,2025-12-20 06:06:30.0
154,PRODUCT_154,15,22.45,ACTIVE,2025-08-24 18:09:04.0
153,PRODUCT_153,14,67.82,ACTIVE,2025-05-12 18:58:32.0
152,PRODUCT_152,13,349.88,ACTIVE,2025-07-11 12:26:15.0
151,PRODUCT_151,12,208.22,ACTIVE,2025-03-17 20:08:20.0
150,PRODUCT_150,11,431.45,INACTIVE,2025-08-27 14:14:53.0
